country_name,iso3c,em_dm,year,gdp_usd_current_prices,gdp_ppp_current_prices,gdp_pc_usd_current_prices,gdp_pc_ppp_current_prices,population,govt_expenditure_pct_gdp,debt_pct_gdp,territorial_co2,trade_co2,consumption_co2,cumulative_co2,debt_usd,govt_expenditure_usd,territorial_co2_per_capita,trade_co2_per_capita,consumption_co2_per_capita,territorial_co2_per_gdp,trade_co2_per_gdp,consumption_co2_per_gdp,territorial_co2_per_debt,trade_co2_per_debt,consumption_co2_per_debt,territorial_co2_per_govt_expenditure,trade_co2_per_govt_expenditure,consumption_co2_govt_expenditure,trade_pct_of_consumption_co2,cumulative_co2_per_capita
Dominican Republic,DOM,Emerging Markets,2002,27.249,63.599000000000004,3158.3900000000003,7371.6900000000005,8.627999999999998,15.845,21.487,20.949,1.388,22.337,352.543,585.4992629999999,431.760405,2.4280250347705152,0.16087158089939732,2.5888966156699125,0.32939197157188005,0.021824242519536467,0.3512162140914165,0.03577972052887111,0.002370626382837992,0.0381503469117091,0.04851996560453477,0.003214745919093716,0.051734711523628484,0.06213905179746609,40.86033843300882
Dominican Republic,DOM,Emerging Markets,2003,21.518,63.982,2460.55,7316.320000000001,8.745,19.014000000000003,48.15,21.345,-0.608,20.737,373.888,1036.0917,409.1432520000001,2.4408233276157807,-0.06952544311034878,2.3712978845054318,0.3336094526585602,-0.009502672626676253,0.3241067800318839,0.020601458345820164,-5.868206453154678e-4,0.020014637700504694,0.052169991551027695,-0.001486032085407582,0.05068395946562011,-0.02931957370882963,42.754488279016584
Dominican Republic,DOM,Emerging Markets,2004,22.506,67.38799999999999,2540.8500000000004,7607.87,8.858,17.078,34.346,17.333,0.09,17.423,391.222,772.9910759999999,384.357468,1.9567622488146306,0.010160307067058026,1.9669225558816885,0.2572119665222295,0.0013355493559684217,0.2585475158781979,0.02242328603545224,1.1643083962330247e-4,0.02253971687507554,0.04509604064724456,2.3415702176495762e-4,0.04533019766900952,0.005165585720025254,44.165951682095276
Dominican Republic,DOM,Emerging Markets,2005,35.948,76.054,4008.36,8480.449999999999,8.968,15.143999999999998,38.322,17.941,2.675,20.615,409.162,1377.5992560000002,544.3965119999999,2.0005575379125777,0.29828278322925955,2.298728813559322,0.23589817761064505,0.03517237752123491,0.2710574065795356,0.013023381017273137,0.0019417838593838493,0.014964438976148804,0.03295575854093643,0.004913697904074742,0.037867619548598436,0.12975988357991752,45.62466547725245
Dominican Republic,DOM,Emerging Markets,2006,37.998000000000005,85.593,4188.72,9435.46,9.071,16.159000000000002,36.022000000000006,19.112,2.093,21.205,428.274,1368.7639560000005,614.0096820000002,2.1069341858670487,0.23073531032962188,2.3376694961966704,0.223289287675394,0.02445293423527625,0.24774222191067025,0.013962962654168541,0.0015291168289647738,0.015492079483133315,0.031126545004546022,0.003408741036757787,0.034535286041303806,0.09870313605281773,47.213537647447914
Dominican Republic,DOM,Emerging Markets,2007,44.067,94.426,4803.469999999999,10292.68,9.174,16.273,32.907,19.993,3.983,23.976,448.267,1450.1127689999998,717.102291,2.1793110965772837,0.43416176149989105,2.613472858077175,0.21173193823734987,0.04218117891258764,0.25391311714993753,0.013787203607473372,0.0027466829374564322,0.016533886544929804,0.027880262343214293,0.00555429825003864,0.033434560593252935,0.16612445779112447,48.86276433398736
Dominican Republic,DOM,Emerging Markets,2008,48.206,99.32499999999999,5194.8,10703.59,9.28,18.285999999999998,33.607,20.332,5.137,25.468,468.599,1620.059042,881.494916,2.1909482758620693,0.5535560344827586,2.744396551724138,0.20470173672287947,0.0517191039516738,0.2564107727158319,0.0125501598848519,0.0031708720897346155,0.01572041471313241,0.023065362750203315,0.005827600258105175,0.028891828571816745,0.20170409926181873,50.49558189655173
Dominican Republic,DOM,Emerging Markets,2009,48.318999999999996,100.90700000000001,5151.17,10757.55,9.38,16.247999999999998,36.734,19.781,3.601,23.382,488.38,1774.950146,785.0871119999998,2.1088486140724942,0.3839019189765458,2.4927505330490405,0.19603198985204195,0.03568632503196012,0.2317183148840021,0.011144538366093354,0.0020287893764876484,0.013173327742581004,0.025195930104632776,0.0045867521513969275,0.029782682256029706,0.154007356085878,52.06609808102345
Dominican Republic,DOM,Emerging Markets,2010,53.921,110.637,5688.75,11672.26,9.479000000000001,15.799,37.31099999999999,20.553,4.041,24.595,508.933,2011.8464309999995,851.897879,2.1682666947990294,0.42631079227766644,2.594682983437071,0.18576967922123702,0.0365248515415277,0.22230356933033252,0.010215988498577407,0.00200860261386422,0.012225088168272823,0.024126131202634443,0.0047435263071009485,0.028870831359353578,0.16430168733482417,53.690579175018456
Dominican Republic,DOM,Emerging Markets,2011,58.088,116.474,6063.35,12157.89,9.58,15.947,39.053,21.318,3.976,25.294,530.251,2268.510664,926.329336,2.225260960334029,0.4150313152400835,2.640292275574113,0.1830279719078936,0.03413637378299019,0.2171643456908838,0.009397354986381497,0.0017526917828057432,0.01115004676918724,0.023013413449749585,0.004292209957604106,0.02730562340735369,0.15719142879734324,55.34979123173277
