Operation Type,Counterparty,Currency,Trade Date,Settlement Date,Maturity Date,Term (days),Amount,Interest Rate,isSmallValue,Last Updated
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/28/2021,9/28/2021,9/29/2021,1,60000.00,0.33,Y,9/30/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/22/2021,9/23/2021,9/30/2021,7,239500000.00,0.33,,9/23/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/15/2021,9/16/2021,9/23/2021,7,230200000.00,0.33,,9/16/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,9/14/2021,9/16/2021,9/24/2021,8,1000000.00,0.33,,9/16/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/8/2021,9/9/2021,9/16/2021,7,224000000.00,0.33,,9/9/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/1/2021,9/2/2021,9/9/2021,7,223500000.00,0.33,,9/2/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/25/2021,8/26/2021,9/2/2021,7,229000000.00,0.34,,8/26/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/24/2021,8/26/2021,9/2/2021,7,2000000.00,0.34,,8/26/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/18/2021,8/19/2021,8/26/2021,7,200000000.00,0.34,,8/19/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,8/17/2021,8/19/2021,8/26/2021,7,1000000.00,0.34,,8/19/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/11/2021,8/12/2021,8/19/2021,7,203000000.00,0.35,,8/12/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,8/4/2021,8/5/2021,8/12/2021,7,194000000.00,0.34,,8/5/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/28/2021,7/29/2021,8/5/2021,7,139900000.00,0.34,,7/29/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/21/2021,7/22/2021,7/29/2021,7,132900000.00,0.35,,7/22/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/14/2021,7/15/2021,7/22/2021,7,131800000.00,0.34,,7/15/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,7/7/2021,7/9/2021,7/15/2021,6,1000000.00,0.35,,7/15/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,7/7/2021,7/8/2021,7/15/2021,7,121700000.00,0.35,,7/15/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/30/2021,7/1/2021,9/23/2021,84,5000000.00,0.34,,7/1/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/30/2021,7/1/2021,7/8/2021,7,162000000.00,0.35,,7/1/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/23/2021,6/24/2021,7/1/2021,7,215000000.00,0.35,,6/24/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/16/2021,6/17/2021,6/24/2021,7,115000000.00,0.33,,6/16/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/9/2021,6/10/2021,6/17/2021,7,142000000.00,0.31,,6/9/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/2/2021,6/3/2021,8/26/2021,84,20000000.00,0.33,,6/2/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,6/2/2021,6/3/2021,6/10/2021,7,108000000.00,0.31,,6/2/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/26/2021,5/27/2021,6/3/2021,7,120000000.00,0.31,,5/26/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/19/2021,5/20/2021,5/27/2021,7,104500000.00,0.31,,5/19/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/19/2021,5/20/2021,8/12/2021,84,13200000.00,0.32,,5/19/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/12/2021,5/14/2021,8/5/2021,83,50000000.00,0.33,,5/12/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/12/2021,5/14/2021,5/20/2021,6,78000000.00,0.31,,5/12/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/5/2021,5/6/2021,7/29/2021,84,5000000.00,0.33,,5/5/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,5/5/2021,5/6/2021,5/14/2021,8,43000000.00,0.32,,5/5/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/28/2021,4/29/2021,5/6/2021,7,113500000.00,0.33,,4/28/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/21/2021,4/22/2021,4/29/2021,7,63500000.00,0.32,,4/21/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/21/2021,4/22/2021,7/15/2021,84,10000000.00,0.33,,4/21/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/14/2021,4/15/2021,7/8/2021,84,5000000.00,0.33,,4/14/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/14/2021,4/15/2021,4/22/2021,7,43000000.00,0.32,,4/14/2021 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,4/13/2021,4/15/2021,4/22/2021,7,1000000.00,0.31,,4/13/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,4/7/2021,4/8/2021,4/15/2021,7,150000000.00,0.31,,4/7/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/31/2021,4/1/2021,4/8/2021,7,213000000.00,0.32,,3/31/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/31/2021,4/1/2021,6/24/2021,84,5000000.00,0.32,,3/31/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/24/2021,3/25/2021,4/1/2021,7,190200000.00,0.32,,3/24/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/17/2021,3/18/2021,3/25/2021,7,60100000.00,0.32,,3/17/2021 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/16/2021,3/18/2021,3/25/2021,7,2000000.00,0.32,,3/16/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/10/2021,3/11/2021,6/3/2021,84,5000000.00,0.32,,3/10/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/10/2021,3/11/2021,3/18/2021,7,70000000.00,0.32,,3/10/2021 9:00
Non-U.S. Dollar Liquidity Swap,European Central Bank,EUR,3/8/2021,3/8/2021,3/9/2021,1,10000.00,0.25,Y,3/8/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/3/2021,3/4/2021,3/11/2021,7,90100000.00,0.32,,3/3/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,3/3/2021,3/4/2021,5/27/2021,84,20000000.00,0.33,,3/3/2021 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,3/2/2021,3/4/2021,3/11/2021,7,1000000.00,0.32,,3/2/2021 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/24/2021,2/26/2021,3/4/2021,6,2000000.00,0.32,,2/24/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/24/2021,2/25/2021,3/4/2021,7,45000000.00,0.32,,2/24/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/24/2021,2/25/2021,5/20/2021,84,14000000.00,0.32,,2/24/2021 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/17/2021,2/19/2021,2/26/2021,7,1000000.00,0.32,,2/17/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/17/2021,2/18/2021,5/14/2021,85,30000000.00,0.32,,2/17/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/17/2021,2/18/2021,2/25/2021,7,137000000.00,0.32,,2/17/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/10/2021,2/11/2021,2/18/2021,7,126100000.00,0.32,,2/10/2021 9:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,2/9/2021,2/12/2021,2/19/2021,7,2000000.00,0.32,,2/9/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/3/2021,2/4/2021,2/11/2021,7,56000000.00,0.32,,2/3/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,2/3/2021,2/4/2021,4/29/2021,84,100000000.00,0.32,,2/3/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/27/2021,1/28/2021,2/4/2021,7,72200000.00,0.33,,1/27/2021 9:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,1/20/2021,1/21/2021,1/28/2021,7,62100000.00,0.34,,1/20/2021 9:00
